symbol,group,playbook,year,score,regime_score,setup_score,trigger_score,rr,rsi,adx,rs20,extension_pct,vol_ratio,pullback_atr,trend_quality,confluence_count,vix_proxy,mfe_pct,mae_pct,status,target_binary
UNH,Health,breakout,2025,7.3500,1.6000,2.1500,3.6000,2.9600,61.1900,24.2700,17.0000,-1.9500,1.9700,1.6300,0.6000,3,19.2800,12.8753,-2.8344,hit_target,1
UNH,Health,breakout,2025,7.4800,1.7300,2.1500,3.6000,1.2900,64.2700,32.8100,5.0300,-24.3100,3.1100,2.9600,0.6700,3,15.0900,13.8589,-4.7588,hit_target,1
UNH,Health,breakout,2025,6.4000,1.9000,2.0000,2.5000,2.8200,71.5700,34.5100,11.2500,-5.0000,1.0300,2.0900,0.7500,2,16.6500,4.6771,-2.3872,expired,0
UNH,Health,breakout,2026,8.4900,2.3900,1.6000,4.2000,1.2500,67.4700,28.0800,10.4500,-5.2200,2.3600,3.0100,0.6900,4,25.7800,16.9577,-0.9483,hit_target,1
MA,Finance,breakout,2023,10.0400,4.4400,2.0000,3.6000,2.8500,68.2200,27.9700,1.8900,11.2700,1.2500,1.9300,0.6700,3,13.9100,1.0346,-0.8593,hit_stop,0
MA,Finance,breakout,2023,8.5500,4.6000,1.0500,2.9000,2.2800,69.1500,18.5800,5.9300,11.3200,1.2700,2.4400,0.7500,3,13.8800,1.1502,-2.8368,hit_stop,0
MA,Finance,breakout,2023,7.6700,4.4700,2.0000,1.2000,3.0100,66.6600,26.2800,4.9100,10.9800,0.9600,1.6900,0.6900,0,14.2300,0.0717,-2.5149,hit_stop,0
MA,Finance,breakout,2023,8.0600,4.4600,2.0000,1.6000,3.5800,70.1100,25.9300,1.5500,7.8100,1.3100,2.3100,0.6800,2,12.9200,0.2465,-2.2981,hit_stop,0
MA,Finance,breakout,2023,9.3700,4.4700,2.0000,2.9000,2.2500,71.0600,26.5700,1.2600,8.9800,1.1100,2.4000,0.6900,3,12.0700,0.1976,-3.1552,hit_stop,0
MA,Finance,breakout,2024,9.1600,4.4100,1.5500,3.2000,1.5600,65.3200,24.1200,-0.3900,9.3000,1.0600,1.5000,0.6500,2,12.6900,2.5561,-1.0396,hit_target,1
MA,Finance,breakout,2024,9.4100,4.5100,2.0000,2.9000,1.4700,71.3000,27.1500,1.2200,10.8500,1.0900,2.2800,0.7100,3,13.3000,4.9356,-2.1805,hit_target,1
MA,Finance,breakout,2024,9.1500,4.4000,1.5500,3.2000,2.3900,64.6800,25.8400,-0.2100,15.3100,1.1700,1.7000,0.6500,2,14.4000,2.3734,-2.0140,hit_stop,0
MA,Finance,breakout,2024,8.3700,4.4700,1.5000,2.4000,2.2600,69.2600,26.9700,0.4100,16.5900,1.1600,2.3000,0.6900,3,12.9200,0.1495,-1.4929,hit_stop,0
MA,Finance,breakout,2024,10.0100,4.4100,2.0000,3.6000,2.1700,67.1300,22.9800,4.1200,9.5200,1.2100,1.9300,0.6600,3,19.4500,3.1407,-1.7841,expired,0
MA,Finance,breakout,2024,8.8900,4.4900,2.0000,2.4000,2.4900,75.4000,25.6100,6.6600,11.9400,1.0800,2.5700,0.6900,3,17.6100,0.2260,-2.7500,hit_stop,0
MA,Finance,breakout,2024,8.4600,4.5600,1.0000,2.9000,1.9900,72.1900,20.7400,0.0000,12.6400,1.1700,2.4500,0.7300,3,19.5800,2.5965,-3.0143,hit_stop,0
MA,Finance,pullback,2024,10.7500,4.5500,4.5000,1.7000,1.4300,54.4300,27.8400,2.5600,9.8600,1.5800,0.2800,0.7200,2,21.8800,5.6272,-0.3897,hit_target,1
MA,Finance,pullback,2024,10.3900,4.3900,4.0000,2.0000,1.1500,60.6800,33.2500,0.7400,11.8100,1.5600,1.1400,0.6500,2,14.6000,1.4554,-2.0565,expired,0
MA,Finance,pullback,2024,9.6200,4.3200,4.1000,1.2000,1.2200,53.3800,21.7800,2.6000,9.9200,2.5700,0.2400,0.6100,2,18.3600,1.5927,-3.4501,hit_stop,0
MA,Finance,breakout,2025,9.3700,4.4700,2.0000,2.9000,1.9800,68.8800,20.5200,2.7000,12.1400,1.2700,2.7100,0.6900,3,17.9000,5.4735,-0.0914,hit_target,1
MA,Finance,breakout,2025,9.7100,4.5100,2.0000,3.2000,1.4700,66.9900,35.9100,3.6100,14.4100,1.3300,1.7800,0.7000,2,19.6300,0.4803,-3.2342,hit_stop,0
MA,Finance,breakout,2025,9.5100,4.2600,2.1500,3.6000,2.7500,60.0600,18.7300,1.2200,7.0400,1.1400,1.3000,0.5800,3,24.7000,5.9068,-0.1152,expired,0
MA,Finance,breakout,2025,8.9300,4.5300,2.0000,2.4000,2.9700,70.6600,25.2300,4.2600,12.0700,1.1900,2.2800,0.7200,3,18.3900,1.7604,-2.7254,expired,0
MA,Finance,pullback,2025,9.6000,4.3000,4.0000,1.3000,1.3500,58.9600,27.7300,0.1800,10.1300,1.1400,0.8700,0.6000,2,18.9600,3.2698,-4.0581,expired,0
MA,Finance,breakout,2025,9.6700,4.3700,2.1500,3.1500,2.3400,62.1300,19.7500,3.7900,3.4400,2.3300,1.5900,0.6400,2,14.9100,2.3928,-3.3279,hit_stop,0
MA,Finance,pullback,2026,9.9300,4.1300,4.5000,1.3000,2.5100,53.7300,21.7400,4.0600,2.4400,1.0900,0.2400,0.5200,2,14.9000,1.7954,-3.8920,hit_stop,0
AVGO,Tech,breakout,2023,9.6500,4.5500,2.0000,3.1000,3.1000,72.3500,20.6500,8.3900,18.8100,1.8400,2.8900,0.7200,3,18.5300,16.5239,-1.2353,hit_target,1
AVGO,Tech,breakout,2023,10.6900,5.1700,0.5200,4.2000,2.2800,71.9300,19.8700,6.3100,24.2400,1.7000,3.1500,0.7300,4,14.1700,3.8999,-4.5691,hit_stop,0
AVGO,Tech,breakout,2023,6.9800,4.5600,1.4200,1.0000,3.3500,69.6200,28.7300,7.5100,25.3100,0.9900,2.5800,0.7300,0,13.8000,1.6410,-4.1887,hit_stop,0
AVGO,Tech,breakout,2024,10.1900,4.7500,1.8900,3.5500,2.1900,59.3700,24.7200,3.4200,26.9000,0.9900,1.5400,0.5200,3,15.2300,4.5857,-8.1766,hit_stop,0
AVGO,Tech,breakout,2025,8.7700,4.5700,1.3000,2.9000,3.3500,73.9200,31.7600,19.2200,27.3900,1.0900,2.4600,0.7300,3,19.3100,10.0365,-2.6200,expired,0
AVGO,Tech,breakout,2026,8.8400,4.4400,2.0000,2.4000,2.5600,70.9600,22.4200,8.5300,18.0500,1.1400,3.1900,0.6700,3,19.2300,11.9873,-0.4181,hit_target,1
AVGO,Tech,breakout,2026,7.3900,4.4200,1.1200,1.8500,4.0800,69.3100,32.0700,18.1700,29.7400,0.9900,2.2800,0.6600,1,17.3800,1.1071,-3.6793,hit_stop,0
HD,Consumer,breakout,2023,9.2900,4.3900,2.5500,2.3500,2.2800,65.6900,21.1600,2.8100,7.4900,1.0400,1.7100,0.6400,1,13.6000,3.0455,-0.5168,expired,0
HD,Consumer,breakout,2023,8.2400,2.6900,1.1500,3.6000,2.0100,60.4400,27.8600,-0.3200,0.5500,2.3800,1.9300,0.6500,4,14.1600,5.3516,-1.1573,hit_target,1
HD,Consumer,breakout,2023,7.3100,3.6600,2.0000,1.6500,3.4100,67.8400,30.5700,2.1200,4.2300,1.3000,2.2200,0.6600,1,12.9200,7.5777,-0.2065,hit_target,1
HD,Consumer,breakout,2024,8.3700,4.5200,2.0000,1.8500,2.1000,71.3300,41.6700,4.1200,14.9100,0.9800,2.6200,0.7100,1,12.6900,1.2356,-3.1964,hit_stop,0
HD,Consumer,breakout,2024,8.3300,4.5800,2.0000,1.7500,2.2200,71.9500,43.2000,1.3400,15.6900,1.0000,2.3400,0.7400,2,13.3000,0.0084,-1.9081,hit_stop,0
HD,Consumer,breakout,2024,8.7000,4.4500,1.5500,2.7000,1.4600,62.1200,30.5800,-0.3400,13.9200,1.0600,1.3800,0.6800,2,12.8300,4.3144,-2.8149,hit_target,1
HD,Consumer,breakout,2024,9.9300,4.3300,2.0000,3.6000,1.6900,67.0800,24.2300,2.3800,15.1000,1.1100,1.7500,0.6200,3,14.5400,3.1030,-0.7764,expired,0
HD,Consumer,breakout,2024,9.4000,4.5000,2.0000,2.9000,2.5700,74.1300,26.7200,2.6200,17.0300,1.4200,2.4500,0.7000,3,13.4000,0.4257,-3.0880,hit_stop,0
HD,Consumer,breakout,2024,9.4900,4.5900,2.0000,2.9000,1.2500,73.2300,27.5400,3.8500,19.4300,1.2500,3.0100,0.7400,3,12.9200,0.1953,-1.5960,hit_stop,0
HD,Consumer,breakout,2024,8.0500,4.5000,0.6500,2.9000,2.2100,66.1800,19.5400,2.0000,5.9000,1.0500,2.3000,0.7000,3,12.3000,0.8032,-5.7237,hit_stop,0
HD,Consumer,breakout,2024,9.5300,4.6300,2.0000,2.9000,2.5800,71.4800,22.2600,4.2800,10.5200,1.0800,3.1000,0.7600,3,14.4800,0.3193,-1.9240,hit_stop,0
HD,Consumer,breakout,2024,8.0700,4.5200,1.0500,2.5000,1.9100,69.0900,18.1700,5.5800,11.3300,1.0000,1.9800,0.7100,1,17.6100,3.2494,-0.9825,hit_target,1
HD,Consumer,breakout,2024,9.9300,4.4800,2.5500,2.9000,2.1900,65.9400,18.5100,3.5200,16.5700,1.1900,2.3800,0.6900,3,14.6000,1.8105,-3.5978,hit_stop,0
HD,Consumer,breakout,2025,9.1500,4.3500,1.6500,3.1500,2.0500,60.6200,27.2700,1.0000,8.5000,1.0100,1.4700,0.6200,2,15.9700,2.0692,-3.9612,expired,0
HD,Consumer,breakout,2025,9.3800,4.4800,2.0000,2.9000,2.5800,67.3500,27.5300,7.5700,12.0400,1.2300,2.4700,0.6900,3,17.9000,0.2737,-2.0061,hit_stop,0
HD,Consumer,breakout,2025,8.7500,4.5000,2.0000,2.2500,2.8600,71.5600,27.3700,7.1100,6.9200,0.9600,2.5000,0.7000,2,14.7300,3.5803,-2.1660,expired,0
HD,Consumer,breakout,2025,9.7500,4.6000,2.0000,3.1500,2.7200,68.9500,33.0800,8.0100,9.4900,2.2300,2.3900,0.7500,2,15.5700,6.9322,-0.9352,expired,0
HD,Consumer,breakout,2025,9.6800,4.4800,2.0000,3.2000,2.1600,66.4400,35.7300,4.4600,10.2400,1.0600,1.7700,0.6900,2,15.3000,1.9713,-3.2234,expired,0
HD,Consumer,breakout,2025,8.9500,4.5500,2.0000,2.4000,2.0500,69.0500,37.7000,2.6000,12.7200,1.3500,2.2900,0.7200,3,14.7100,1.0131,-2.6842,hit_stop,0
PG,Consumer,breakout,2023,8.9700,4.1700,2.1500,2.6500,2.1700,59.7100,24.1200,1.5500,1.8700,1.0000,1.3300,0.5400,2,18.9700,0.2185,-3.1579,hit_stop,0
PG,Consumer,breakout,2024,7.5200,4.5200,1.0500,1.9500,2.7500,69.5300,19.3800,5.2900,6.0300,1.0100,2.7800,0.7100,2,13.2600,2.2323,-0.9147,expired,0
PG,Consumer,breakout,2024,9.0900,4.5400,2.0000,2.5500,1.9500,68.7600,34.0400,1.6200,7.7100,0.9600,1.9800,0.7200,1,15.3400,1.3263,-1.8618,expired,0
PG,Consumer,breakout,2024,12.3000,4.7500,2.5500,4.2000,2.1000,63.1600,22.0400,4.0700,5.9600,1.2600,1.6200,0.5300,4,16.9400,3.8214,-1.1042,hit_target,1
PG,Consumer,breakout,2024,7.8300,4.3800,0.5500,2.9000,3.6600,72.9800,19.4100,0.8800,9.2500,1.0500,2.0300,0.6400,3,12.4200,0.5909,-3.1573,hit_stop,0
PG,Consumer,breakout,2024,9.5800,4.3800,2.5500,2.6500,2.1900,63.8200,23.3400,4.0300,9.7200,1.2000,1.6300,0.6400,2,17.1400,0.4856,-1.4167,hit_stop,0
PG,Consumer,breakout,2024,11.0100,4.8600,1.1500,4.2000,2.4200,58.5200,21.1200,-0.0600,4.3800,1.0200,1.3600,0.5800,4,15.5800,6.1291,-0.2941,hit_target,1
PG,Consumer,breakout,2024,9.7400,4.5900,2.0000,3.1500,3.4900,71.7400,24.4600,1.9000,8.1100,2.5500,2.9100,0.7400,2,14.6000,0.2389,-3.6333,hit_stop,0
PG,Consumer,breakout,2025,10.8900,4.9400,2.1500,3.0000,2.3500,63.1500,29.3400,1.3600,3.2600,1.2900,2.1000,0.6200,4,17.9000,0.5278,-0.9057,hit_stop,0
PG,Consumer,pullback,2025,10.6500,4.2000,4.5000,1.9500,1.1500,57.8500,21.5400,5.6800,3.4100,1.2200,0.9800,0.5500,2,18.9800,4.4753,-2.9023,expired,0
PG,Consumer,breakout,2025,10.0400,4.3900,2.5500,3.6000,2.0600,65.4800,20.8300,8.7800,6.2100,1.0400,1.9400,0.6400,3,22.7800,3.8124,-3.2357,hit_stop,0
PG,Consumer,breakout,2025,8.7900,3.6400,2.0500,3.1000,2.2100,64.7600,19.9200,0.6600,3.2300,1.7500,1.8400,0.6500,3,18.5700,0.7615,-2.5603,hit_stop,0
PG,Consumer,breakout,2026,6.8700,1.8200,2.1500,2.9000,2.8200,65.9200,18.6000,5.4300,-0.3400,1.3500,2.5400,0.7100,3,16.0900,8.1583,-0.8645,hit_target,1
PG,Consumer,breakout,2026,8.1900,2.7400,2.5500,2.9000,3.1800,65.6800,21.5200,5.1800,0.7800,1.0500,2.3200,0.6700,3,17.4400,6.9140,-0.2556,hit_target,1
PG,Consumer,breakout,2026,7.9700,3.8700,2.0000,2.1000,3.3600,74.7700,34.5600,12.2500,6.6000,1.1300,2.8100,0.7600,2,20.8200,1.3879,-2.6133,hit_stop,0
PG,Consumer,breakout,2026,8.6900,3.7900,2.0000,2.9000,2.6900,72.7600,35.0500,11.0000,8.8400,1.2500,2.8100,0.7200,3,21.0100,1.6470,-3.5979,hit_stop,0
COST,Consumer,breakout,2023,7.9400,4.5400,1.0000,2.4000,2.2800,70.2100,22.0600,-0.4500,7.9000,1.3500,2.2800,0.7200,3,13.5900,0.8924,-3.0653,hit_stop,0
COST,Consumer,breakout,2023,8.9000,4.5000,1.5000,2.9000,2.0300,67.7600,26.3700,0.5500,8.8700,1.0800,2.1800,0.7000,3,13.3400,3.3456,-0.5935,hit_target,1
COST,Consumer,breakout,2023,10.0100,4.3100,2.5500,3.1500,2.6200,65.1800,18.5400,1.7500,10.8700,1.0100,1.7300,0.6000,2,13.0800,6.1272,-0.2709,hit_target,1
COST,Consumer,breakout,2024,7.4700,4.5700,1.5000,1.4000,3.3500,70.4700,44.0200,5.0800,23.2400,1.0000,2.4700,0.7400,0,13.8800,5.0856,-0.8865,expired,0
COST,Consumer,breakout,2024,8.4200,4.5700,1.5000,2.3500,2.7700,71.3000,45.7300,2.1900,23.3400,1.2300,1.7400,0.7400,1,15.4200,5.9819,0.0000,hit_target,1
COST,Consumer,breakout,2024,8.5300,4.5800,1.0500,2.9000,2.2200,74.5600,18.1000,7.9300,19.2300,1.1300,3.1300,0.7400,3,13.2300,6.9482,-0.0249,hit_target,1
COST,Consumer,breakout,2024,7.3100,4.6100,1.5500,1.1500,3.5500,70.5300,29.6800,4.3800,20.2400,1.0000,2.7200,0.7500,1,12.4500,7.1534,-0.6817,expired,0
COST,Consumer,breakout,2024,7.7000,4.7200,1.5300,1.4500,3.7300,73.3100,42.1200,6.8800,21.8900,1.0000,2.6600,0.8100,1,11.9300,1.5464,-2.3320,hit_stop,0
COST,Consumer,breakout,2024,7.8000,4.4900,1.5100,1.8000,2.9600,73.3200,44.0200,7.0900,22.9300,0.9600,2.4200,0.6900,1,13.1600,4.6133,-0.1317,expired,0
COST,Consumer,breakout,2024,7.9100,4.4800,1.4300,2.0000,1.5000,73.7900,33.3300,2.0900,25.2000,1.4800,2.6600,0.6900,2,12.4800,1.4505,-4.2236,hit_stop,0
COST,Consumer,breakout,2024,9.4000,4.4000,2.5500,2.4500,2.1400,64.5800,23.7100,4.6000,18.5300,0.9800,1.9200,0.6500,2,15.2300,5.5526,-0.2171,expired,0
COST,Consumer,breakout,2024,9.0900,4.6400,1.5500,2.9000,3.0800,71.9700,30.2600,8.6000,21.0000,1.1600,2.6500,0.7700,3,15.4300,1.0617,-0.8866,hit_stop,0
COST,Consumer,breakout,2024,10.5300,4.3800,2.5500,3.6000,1.6600,65.1500,29.7200,3.2400,19.4900,1.1200,1.6800,0.6400,3,17.0700,0.0683,-5.2061,hit_stop,0
COST,Consumer,breakout,2024,9.5400,4.6400,2.0000,2.9000,2.7500,69.6100,28.8900,5.4700,17.6100,1.1200,2.5200,0.7700,3,15.2400,4.5902,-0.5612,expired,0
COST,Consumer,breakout,2024,7.5300,4.5300,2.0000,1.0000,3.3100,68.7000,33.1500,5.4300,17.9100,0.9900,2.1600,0.7200,0,13.3400,2.6731,-3.9664,hit_stop,0
COST,Consumer,breakout,2024,9.0300,4.6800,2.0000,2.3500,3.0300,69.3400,41.0300,4.9100,18.7100,1.0300,1.9600,0.7900,1,13.5800,2.6177,-1.5566,hit_stop,0
COST,Consumer,breakout,2025,9.4500,4.5500,2.0000,2.9000,2.3800,71.8000,25.4600,8.3100,15.6300,1.4000,2.6700,0.7300,3,18.6200,5.8256,0.0000,hit_target,1
COST,Consumer,pullback,2025,10.4000,4.2000,4.5000,1.7000,1.1500,58.3200,28.7800,9.0200,16.7100,1.7100,0.8900,0.5500,2,19.6300,0.5020,-9.8448,hit_stop,0
COST,Consumer,breakout,2025,9.5900,4.4900,1.5000,3.6000,1.6000,66.6800,24.5600,0.2400,12.8500,1.0400,1.8800,0.7000,3,18.3600,0.2682,-4.6436,hit_stop,0
COST,Consumer,breakout,2026,8.9900,2.3400,2.1500,3.7000,1.4300,63.6000,24.2200,1.7800,-1.0300,1.6600,2.1700,0.6700,4,15.4500,3.8255,-0.3694,hit_target,1
COST,Consumer,breakout,2026,7.5400,3.8900,2.0000,1.6500,3.5700,74.7300,33.3700,11.9800,4.0700,1.0900,2.9400,0.7700,1,20.0900,1.5452,-4.7366,hit_stop,0
COST,Consumer,breakout,2026,9.4400,3.6900,2.5500,3.2000,3.4900,64.8100,36.2900,11.5600,5.2300,1.0600,1.6200,0.6700,2,18.0000,3.3089,-2.8508,expired,0
COST,Consumer,breakout,2026,9.3300,4.4300,2.0000,2.9000,1.8700,68.3900,32.8700,8.1100,9.0300,1.0500,2.1600,0.6600,3,20.6000,0.5941,-2.5634,hit_stop,0
